"id","name","code","create_at"
"1","BANK BRI","002","2020-08-19 06:24:57"
"2","BANK EKSPOR INDONESIA","003","2020-08-19 06:24:57"
"3","BANK MANDIRI","008","2020-08-19 06:24:57"
"4","BANK BNI","009","2020-08-19 06:24:57"
"5","BANK DANAMON","011","2020-08-19 06:24:57"
"6","PERMATA BANK","013","2020-08-19 06:24:57"
"7","BANK BCA","014","2020-08-19 06:24:57"
"8","BANK BII","016","2020-08-19 06:24:57"
"9","BANK PANIN","019","2020-08-19 06:24:57"
"10","BANK ARTA NIAGA KENCANA","020","2020-08-19 06:24:57"
"11","BANK NIAGA","022","2020-08-19 06:24:57"
"12","BANK BUANA IND","023","2020-08-19 06:24:57"
"13","BANK LIPPO","026","2020-08-19 06:24:57"
"14","BANK NISP","028","2020-08-19 06:24:57"
"15","AMERICAN EXPRESS BANK LTD","030","2020-08-19 06:24:57"
"16","CITIBANK N.A.","031","2020-08-19 06:24:57"
"17","JP. MORGAN CHASE BANK, N.A.","032","2020-08-19 06:24:57"
"18","BANK OF AMERICA, N.A","033","2020-08-19 06:24:57"
"19","ING INDONESIA BANK","034","2020-08-19 06:24:57"
"20","BANK MULTICOR TBK.","036","2020-08-19 06:24:57"
"21","BANK ARTHA GRAHA","037","2020-08-19 06:24:57"
"22","BANK CREDIT AGRICOLE INDOSUEZ","039","2020-08-19 06:24:57"
"23","THE BANGKOK BANK COMP. LTD","040","2020-08-19 06:24:57"
"24","THE HONGKONG & SHANGHAI B.C.","041","2020-08-19 06:24:57"
"25","THE BANK OF TOKYO MITSUBISHI UFJ LTD","042","2020-08-19 06:24:57"
"26","BANK SUMITOMO MITSUI INDONESIA","045","2020-08-19 06:24:57"
"27","BANK DBS INDONESIA","046","2020-08-19 06:24:57"
"28","BANK RESONA PERDANIA","047","2020-08-19 06:24:57"
"29","BANK MIZUHO INDONESIA","048","2020-08-19 06:24:57"
"30","STANDARD CHARTERED BANK","050","2020-08-19 06:24:57"
"31","BANK ABN AMRO","052","2020-08-19 06:24:57"
"32","BANK KEPPEL TATLEE BUANA","053","2020-08-19 06:24:57"
"33","BANK CAPITAL INDONESIA, TBK.","054","2020-08-19 06:24:57"
"34","BANK BNP PARIBAS INDONESIA","057","2020-08-19 06:24:57"
"35","BANK UOB INDONESIA","058","2020-08-19 06:24:57"
"36","KOREA EXCHANGE BANK DANAMON","059","2020-08-19 06:24:57"
"37","RABOBANK INTERNASIONAL INDONESIA","060","2020-08-19 06:24:57"
"38","ANZ PANIN BANK","061","2020-08-19 06:24:57"
"39","DEUTSCHE BANK AG.","067","2020-08-19 06:24:57"
"40","BANK WOORI INDONESIA","068","2020-08-19 06:24:57"
"41","BANK OF CHINA LIMITED","069","2020-08-19 06:24:57"
"42","BANK BUMI ARTA","076","2020-08-19 06:24:57"
"43","BANK EKONOMI","087","2020-08-19 06:24:57"
"44","BANK ANTARDAERAH","088","2020-08-19 06:24:57"
"45","BANK HAGA","089","2020-08-19 06:24:57"
"46","BANK IFI","093","2020-08-19 06:24:57"
"47","BANK CENTURY, TBK.","095","2020-08-19 06:24:57"
"48","BANK MAYAPADA","097","2020-08-19 06:24:57"
"49","BANK JABAR","110","2020-08-19 06:24:57"
